VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
1953,CULLENTHEATER1,SECAA,R,1,539,A,1,18,10
1953,CULLENTHEATER1,SECAA,S,8,585,A,1,19,3
1953,CULLENTHEATER1,SECAA,S,7,583,A,0,19,4
1953,CULLENTHEATER1,SECAA,S,6,581,A,0,19,5
1953,CULLENTHEATER1,SECAA,S,5,579,A,0,19,6
1953,CULLENTHEATER1,SECAA,S,4,577,A,0,19,7
1953,CULLENTHEATER1,SECAA,S,3,575,A,0,19,8
1953,CULLENTHEATER1,SECAA,S,2,573,A,0,19,9
1953,CULLENTHEATER1,SECAA,S,1,571,A,1,19,10
1953,CULLENTHEATER1,SECAA,T,7,613,A,1,20,4
1953,CULLENTHEATER1,SECAA,T,6,611,A,0,20,5
1953,CULLENTHEATER1,SECAA,T,5,609,A,0,20,6
1953,CULLENTHEATER1,SECAA,T,4,607,A,0,20,7
1953,CULLENTHEATER1,SECAA,T,3,605,A,0,20,8
1953,CULLENTHEATER1,SECAA,T,2,603,A,0,20,9
1953,CULLENTHEATER1,SECAA,T,1,601,A,1,20,10
1953,CULLENTHEATER1,SECAA,U,5,637,A,1,21,6
1953,CULLENTHEATER1,SECAA,U,4,635,A,0,21,7
1953,CULLENTHEATER1,SECAA,U,3,633,A,0,21,8
1953,CULLENTHEATER1,SECAA,U,2,631,A,0,21,9
1953,CULLENTHEATER1,SECAA,U,1,629,A,1,21,10
1953,CULLENTHEATER1,SECBB,A,1,187,A,1,1,1
1953,CULLENTHEATER1,SECBB,A,2,185,A,0,1,2
1953,CULLENTHEATER1,SECBB,A,3,183,A,0,1,3
1953,CULLENTHEATER1,SECBB,A,4,181,A,0,1,4
1953,CULLENTHEATER1,SECBB,A,5,179,A,0,1,5
1953,CULLENTHEATER1,SECBB,A,6,177,A,0,1,6
1953,CULLENTHEATER1,SECBB,A,7,175,A,0,1,7
1953,CULLENTHEATER1,SECBB,A,8,176,A,0,1,8
1953,CULLENTHEATER1,SECBB,A,9,178,A,0,1,9
1953,CULLENTHEATER1,SECBB,A,10,180,A,0,1,10
1953,CULLENTHEATER1,SECBB,A,11,182,A,0,1,11
1953,CULLENTHEATER1,SECBB,A,12,184,A,0,1,12
1953,CULLENTHEATER1,SECBB,A,13,186,A,0,1,13
1953,CULLENTHEATER1,SECBB,A,14,188,A,1,1,14
1953,CULLENTHEATER1,SECBB,B,1,129,A,1,2,1
1953,CULLENTHEATER1,SECBB,B,2,127,A,0,2,2
1953,CULLENTHEATER1,SECBB,B,3,125,A,0,2,3
1953,CULLENTHEATER1,SECBB,B,4,123,A,0,2,4
1953,CULLENTHEATER1,SECBB,B,5,121,A,0,2,5
1953,CULLENTHEATER1,SECBB,B,6,119,A,0,2,6
1953,CULLENTHEATER1,SECBB,B,7,117,A,0,2,7
1953,CULLENTHEATER1,SECBB,B,8,118,A,0,2,8
1953,CULLENTHEATER1,SECBB,B,9,120,A,0,2,9
1953,CULLENTHEATER1,SECBB,B,10,122,A,0,2,10
1953,CULLENTHEATER1,SECBB,B,11,124,A,0,2,11
1953,CULLENTHEATER1,SECBB,B,12,126,A,0,2,12
1953,CULLENTHEATER1,SECBB,B,13,128,A,0,2,13
1953,CULLENTHEATER1,SECBB,B,14,130,A,1,2,14
