VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
3929,CKMConcertHall1,RSVFL,E,28,136,A,0,3,13,
3929,CKMConcertHall1,RSVFL,E,29,138,A,0,3,12,
3929,CKMConcertHall1,RSVFL,E,30,140,A,0,3,11,
3929,CKMConcertHall1,RSVFL,E,31,142,A,0,3,10,
3929,CKMConcertHall1,RSVFL,E,32,144,A,0,3,9,
3929,CKMConcertHall1,RSVFL,E,33,146,A,0,3,8,
3929,CKMConcertHall1,RSVFL,E,34,148,A,0,3,7,
3929,CKMConcertHall1,RSVFL,E,35,150,A,0,3,6,
3929,CKMConcertHall1,RSVFL,E,36,152,A,0,3,5,
3929,CKMConcertHall1,RSVFL,E,37,154,A,0,3,4,
3929,CKMConcertHall1,RSVFL,E,38,156,A,0,3,3,
3929,CKMConcertHall1,RSVFL,E,39,158,A,0,3,2,
3929,CKMConcertHall1,RSVFL,E,40,160,A,1,3,1,
3929,CKMConcertHall1,RSVFL,F,1,199,A,1,4,42,
3929,CKMConcertHall1,RSVFL,F,2,197,A,0,4,41,
3929,CKMConcertHall1,RSVFL,F,3,195,A,0,4,40,
3929,CKMConcertHall1,RSVFL,F,4,193,A,0,4,39,
3929,CKMConcertHall1,RSVFL,F,5,191,A,0,4,38,
3929,CKMConcertHall1,RSVFL,F,6,189,A,0,4,37,
3929,CKMConcertHall1,RSVFL,F,7,187,A,0,4,36,
3929,CKMConcertHall1,RSVFL,F,8,185,A,0,4,35,
3929,CKMConcertHall1,RSVFL,F,9,183,A,0,4,34,
3929,CKMConcertHall1,RSVFL,F,10,181,A,0,4,33,
3929,CKMConcertHall1,RSVFL,F,11,179,A,0,4,32,
3929,CKMConcertHall1,RSVFL,F,12,177,A,0,4,31,
3929,CKMConcertHall1,RSVFL,F,13,175,A,0,4,30,
3929,CKMConcertHall1,RSVFL,F,14,173,A,0,4,29,
3929,CKMConcertHall1,RSVFL,F,15,171,A,0,4,28,
3929,CKMConcertHall1,RSVFL,F,16,169,A,0,4,27,
3929,CKMConcertHall1,RSVFL,F,17,167,A,0,4,26,
3929,CKMConcertHall1,RSVFL,F,18,165,A,0,4,25,
3929,CKMConcertHall1,RSVFL,F,19,163,A,0,4,24,
3929,CKMConcertHall1,RSVFL,F,20,161,A,0,4,21,
3929,CKMConcertHall1,RSVFL,F,21,162,A,0,4,20,
3929,CKMConcertHall1,RSVFL,F,22,164,A,0,4,19,
3929,CKMConcertHall1,RSVFL,F,23,166,A,0,4,18,
3929,CKMConcertHall1,RSVFL,F,24,168,A,0,4,17,
3929,CKMConcertHall1,RSVFL,F,25,170,A,0,4,16,
3929,CKMConcertHall1,RSVFL,F,26,172,A,0,4,15,
3929,CKMConcertHall1,RSVFL,F,27,174,A,0,4,14,
3929,CKMConcertHall1,RSVFL,F,28,176,A,0,4,13,
3929,CKMConcertHall1,RSVFL,F,29,178,A,0,4,12,
3929,CKMConcertHall1,RSVFL,F,30,180,A,0,4,11,
3929,CKMConcertHall1,RSVFL,F,31,182,A,0,4,10,
3929,CKMConcertHall1,RSVFL,F,32,184,A,0,4,9,
3929,CKMConcertHall1,RSVFL,F,33,186,A,0,4,8,
3929,CKMConcertHall1,RSVFL,F,34,188,A,0,4,7,
3929,CKMConcertHall1,RSVFL,F,35,190,A,0,4,6,
3929,CKMConcertHall1,RSVFL,F,36,192,A,0,4,5,
3929,CKMConcertHall1,RSVFL,F,37,194,A,0,4,4,
3929,CKMConcertHall1,RSVFL,F,38,196,A,0,4,3,
3929,CKMConcertHall1,RSVFL,F,39,198,A,0,4,2,
3929,CKMConcertHall1,RSVFL,F,40,200,A,1,4,1,
3929,CKMConcertHall1,RSVFL,G,1,239,A,1,5,42,
3929,CKMConcertHall1,RSVFL,G,2,237,A,0,5,41,
3929,CKMConcertHall1,RSVFL,G,3,235,A,0,5,40,
3929,CKMConcertHall1,RSVFL,G,4,233,A,0,5,39,
3929,CKMConcertHall1,RSVFL,G,5,231,A,0,5,38,
3929,CKMConcertHall1,RSVFL,G,6,229,A,0,5,37,
3929,CKMConcertHall1,RSVFL,G,7,227,A,0,5,36,
3929,CKMConcertHall1,RSVFL,G,8,225,A,0,5,35,
3929,CKMConcertHall1,RSVFL,G,9,223,A,0,5,34,
3929,CKMConcertHall1,RSVFL,G,10,221,A,0,5,33,
3929,CKMConcertHall1,RSVFL,G,11,219,A,0,5,32,
3929,CKMConcertHall1,RSVFL,G,12,217,A,0,5,31,
3929,CKMConcertHall1,RSVFL,G,13,215,A,0,5,30,
3929,CKMConcertHall1,RSVFL,G,14,213,A,0,5,29,
3929,CKMConcertHall1,RSVFL,G,15,211,A,0,5,28,
3929,CKMConcertHall1,RSVFL,G,16,209,A,0,5,27,
3929,CKMConcertHall1,RSVFL,G,17,207,A,0,5,26,
3929,CKMConcertHall1,RSVFL,G,18,205,A,0,5,25,
3929,CKMConcertHall1,RSVFL,G,19,203,A,0,5,24,
3929,CKMConcertHall1,RSVFL,G,20,201,A,0,5,21,
3929,CKMConcertHall1,RSVFL,G,21,202,A,0,5,20,
3929,CKMConcertHall1,RSVFL,G,22,204,A,0,5,19,
3929,CKMConcertHall1,RSVFL,G,23,206,A,0,5,18,
3929,CKMConcertHall1,RSVFL,G,24,208,A,0,5,17,
3929,CKMConcertHall1,RSVFL,G,25,210,A,0,5,16,
3929,CKMConcertHall1,RSVFL,G,26,212,A,0,5,15,
3929,CKMConcertHall1,RSVFL,G,27,214,A,0,5,14,
3929,CKMConcertHall1,RSVFL,G,28,216,A,0,5,13,
3929,CKMConcertHall1,RSVFL,G,29,218,A,0,5,12,
3929,CKMConcertHall1,RSVFL,G,30,220,A,0,5,11,
3929,CKMConcertHall1,RSVFL,G,31,222,A,0,5,10,
3929,CKMConcertHall1,RSVFL,G,32,224,A,0,5,9,
3929,CKMConcertHall1,RSVFL,G,33,226,A,0,5,8,
3929,CKMConcertHall1,RSVFL,G,34,228,A,0,5,7,
3929,CKMConcertHall1,RSVFL,G,35,230,A,0,5,6,
