VenueCode,TemplateName,Section,Row,Seat,Priority,Status,Aisle,RowSort,SeatSort
1834,KOUSSEVITZKY1,B,A,11,41,A,0,1,11
1834,KOUSSEVITZKY1,B,A,12,42,A,0,1,12
1834,KOUSSEVITZKY1,B,A,13,43,A,0,1,13
1834,KOUSSEVITZKY1,B,A,14,44,A,0,1,14
1834,KOUSSEVITZKY1,B,A,15,45,A,0,1,15
1834,KOUSSEVITZKY1,B,A,16,46,A,0,1,16
1834,KOUSSEVITZKY1,B,A,17,47,A,0,1,17
1834,KOUSSEVITZKY1,B,A,18,48,A,0,1,18
1834,KOUSSEVITZKY1,B,A,19,49,A,0,1,19
1834,KOUSSEVITZKY1,B,A,20,50,A,0,1,20
1834,KOUSSEVITZKY1,B,A,21,51,A,0,1,21
1834,KOUSSEVITZKY1,B,A,22,52,A,0,1,22
1834,KOUSSEVITZKY1,B,A,23,53,A,0,1,23
1834,KOUSSEVITZKY1,B,A,24,54,A,0,1,24
1834,KOUSSEVITZKY1,B,A,25,55,A,0,1,25
1834,KOUSSEVITZKY1,B,A,26,56,A,0,1,26
1834,KOUSSEVITZKY1,B,A,27,57,A,0,1,27
1834,KOUSSEVITZKY1,B,A,28,58,A,0,1,28
1834,KOUSSEVITZKY1,B,A,29,59,A,0,1,29
1834,KOUSSEVITZKY1,B,A,30,60,A,1,1,30
1834,KOUSSEVITZKY1,C,A,1,61,A,1,1,1
1834,KOUSSEVITZKY1,C,A,2,62,A,0,1,2
1834,KOUSSEVITZKY1,C,A,3,63,A,0,1,3
1834,KOUSSEVITZKY1,C,A,4,64,A,0,1,4
1834,KOUSSEVITZKY1,C,A,5,65,A,0,1,5
1834,KOUSSEVITZKY1,C,A,6,66,A,0,1,6
1834,KOUSSEVITZKY1,C,A,7,67,A,0,1,7
1834,KOUSSEVITZKY1,C,A,8,68,A,0,1,8
1834,KOUSSEVITZKY1,C,A,9,69,A,0,1,9
1834,KOUSSEVITZKY1,C,A,10,70,A,0,1,10
1834,KOUSSEVITZKY1,C,A,11,71,A,0,1,11
1834,KOUSSEVITZKY1,C,A,12,72,A,0,1,12
1834,KOUSSEVITZKY1,C,A,13,73,A,0,1,13
1834,KOUSSEVITZKY1,C,A,14,74,A,0,1,14
1834,KOUSSEVITZKY1,C,A,15,75,A,0,1,15
1834,KOUSSEVITZKY1,C,A,16,76,A,0,1,16
1834,KOUSSEVITZKY1,C,A,17,77,A,0,1,17
1834,KOUSSEVITZKY1,C,A,18,78,A,0,1,18
1834,KOUSSEVITZKY1,C,A,19,79,A,0,1,19
1834,KOUSSEVITZKY1,C,A,20,80,A,0,1,20
1834,KOUSSEVITZKY1,C,A,21,81,A,0,1,21
1834,KOUSSEVITZKY1,C,A,22,82,A,0,1,22
1834,KOUSSEVITZKY1,C,A,23,83,A,0,1,23
1834,KOUSSEVITZKY1,C,A,24,84,A,0,1,24
1834,KOUSSEVITZKY1,C,A,25,85,A,0,1,25
1834,KOUSSEVITZKY1,C,A,26,86,A,0,1,26
1834,KOUSSEVITZKY1,C,A,27,87,A,0,1,27
1834,KOUSSEVITZKY1,C,A,28,88,A,0,1,28
1834,KOUSSEVITZKY1,C,A,29,89,A,0,1,29
1834,KOUSSEVITZKY1,C,A,30,90,A,1,1,30
1834,KOUSSEVITZKY1,D,A,1,91,A,1,1,1
1834,KOUSSEVITZKY1,D,A,2,92,A,0,1,2
1834,KOUSSEVITZKY1,D,A,3,93,A,0,1,3
1834,KOUSSEVITZKY1,D,A,4,94,A,0,1,4
1834,KOUSSEVITZKY1,D,A,5,95,A,0,1,5
1834,KOUSSEVITZKY1,D,A,6,96,A,0,1,6
1834,KOUSSEVITZKY1,D,A,7,97,A,0,1,7
1834,KOUSSEVITZKY1,D,A,8,98,A,0,1,8
1834,KOUSSEVITZKY1,D,A,9,99,A,0,1,9
1834,KOUSSEVITZKY1,D,A,10,100,A,0,1,10
1834,KOUSSEVITZKY1,D,A,11,101,A,0,1,11
1834,KOUSSEVITZKY1,D,A,12,102,A,0,1,12
1834,KOUSSEVITZKY1,D,A,13,103,A,0,1,13
1834,KOUSSEVITZKY1,D,A,14,104,A,0,1,14
1834,KOUSSEVITZKY1,D,A,15,105,A,0,1,15
1834,KOUSSEVITZKY1,D,A,16,106,A,0,1,16
1834,KOUSSEVITZKY1,D,A,17,107,A,0,1,17
1834,KOUSSEVITZKY1,D,A,18,108,A,0,1,18
1834,KOUSSEVITZKY1,D,A,19,109,A,0,1,19
1834,KOUSSEVITZKY1,D,A,20,110,A,0,1,20
1834,KOUSSEVITZKY1,D,A,21,111,A,0,1,21
1834,KOUSSEVITZKY1,D,A,22,112,A,0,1,22
1834,KOUSSEVITZKY1,D,A,23,113,A,0,1,23
1834,KOUSSEVITZKY1,D,A,24,114,A,0,1,24
1834,KOUSSEVITZKY1,D,A,25,115,A,0,1,25
1834,KOUSSEVITZKY1,D,A,26,116,A,0,1,26
1834,KOUSSEVITZKY1,D,A,27,117,A,0,1,27
1834,KOUSSEVITZKY1,D,A,28,118,A,0,1,28
1834,KOUSSEVITZKY1,D,A,29,119,A,0,1,29
1834,KOUSSEVITZKY1,D,A,30,120,A,1,1,30
