VenueCode,TemplateName,SectioCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
52,RiverplaceCafe3,7,TBL07,TBL07,92,A,0,1,2,,0
52,RiverplaceCafe3,7,TBL07,TBL07,93,A,0,1,3,,0
52,RiverplaceCafe3,7,TBL07,TBL07,94,A,0,1,4,,0
52,RiverplaceCafe3,7,TBL07,TBL07,95,A,0,1,5,,0
52,RiverplaceCafe3,7,TBL07,TBL07,96,A,1,1,6,,0
52,RiverplaceCafe3,8,TBL08,TBL08,55,A,1,1,1,,0
52,RiverplaceCafe3,8,TBL08,TBL08,56,A,0,1,2,,0
52,RiverplaceCafe3,8,TBL08,TBL08,57,A,0,1,3,,0
52,RiverplaceCafe3,8,TBL08,TBL08,58,A,1,1,4,,0
52,RiverplaceCafe3,9,TBL09,TBL09,59,A,1,1,1,,0
52,RiverplaceCafe3,9,TBL09,TBL09,60,A,0,1,2,,0
52,RiverplaceCafe3,9,TBL09,TBL09,61,A,0,1,3,,0
52,RiverplaceCafe3,9,TBL09,TBL09,62,A,1,1,4,,0
