VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
413,CARLPERKINSCC2,TB059,Table 59,1,A,Gold,Left
413,CARLPERKINSCC2,TB060,Table 60,1,A,Gold,Left
413,CARLPERKINSCC2,TB061,Table 61,1,A,Gold,Left
413,CARLPERKINSCC2,TB062,Table 62,1,A,Gold,Left
413,CARLPERKINSCC2,TB063,Table 63,1,A,Gold,Left
413,CARLPERKINSCC2,TB064,Table 64,1,A,Gold,Left
413,CARLPERKINSCC2,TB065,Table 65,1,A,Gold,Left
413,CARLPERKINSCC2,TB066,Table 66,1,A,Gold,Left
413,CARLPERKINSCC2,TB067,Table 67,1,A,Gold,Left
413,CARLPERKINSCC2,TB068,Table 68,1,A,Gold,Left
413,CARLPERKINSCC2,TB069,Table 69,1,A,Gold,Left
413,CARLPERKINSCC2,TB070,Table 70,1,A,Gold,Left
413,CARLPERKINSCC2,TB071,Table 71,1,A,Gold,Left
413,CARLPERKINSCC2,TB072,Table 72,1,A,Gold,Left
413,CARLPERKINSCC2,TB073,Table 73,1,A,Gold,Left
413,CARLPERKINSCC2,TB074,Table 74,1,A,Gold,Left
413,CARLPERKINSCC2,TB075,Table 75,1,A,Gold,Left
413,CARLPERKINSCC2,TB076,Table 76,1,A,Gold,Left
413,CARLPERKINSCC2,TB077,Table 77,1,A,Gold,Left
413,CARLPERKINSCC2,TB078,Table 78,1,A,Gold,Left
413,CARLPERKINSCC2,TB079,Table 79,1,A,Gold,Left
413,CARLPERKINSCC2,TB080,Table 80,1,A,Gold,Left
413,CARLPERKINSCC2,TB081,Table 81,1,A,Gold,Left
413,CARLPERKINSCC2,TB082,Table 82,1,A,Gold,Left
413,CARLPERKINSCC2,TB083,Table 83,1,A,Gold,Left
413,CARLPERKINSCC2,TB084,Table 84,1,A,Gold,Left
413,CARLPERKINSCC2,TB085,Table 85,1,A,Gold,Left
413,CARLPERKINSCC2,TB086,Table 86,1,A,Gold,Left
413,CARLPERKINSCC2,TB087,Table 87,1,A,Gold,Left
413,CARLPERKINSCC2,TB088,Table 88,1,A,Gold,Left
413,CARLPERKINSCC2,TB089,Table 89,1,A,Gold,Left
413,CARLPERKINSCC2,TB090,Table 90,1,A,Gold,Left
413,CARLPERKINSCC2,TB091,Table 91,1,A,Gold,Left
413,CARLPERKINSCC2,TB092,Table 92,1,A,Gold,Left
413,CARLPERKINSCC2,TB093,Table 93,1,A,Gold,Left
413,CARLPERKINSCC2,TB094,Table 94,1,A,Gold,Left
413,CARLPERKINSCC2,TB095,Table 95,1,A,Gold,Left
413,CARLPERKINSCC2,TB096,Table 96,1,A,Gold,Left
413,CARLPERKINSCC2,TB097,Table 97,1,A,Gold,Left
413,CARLPERKINSCC2,TB098,Table 98,1,A,Gold,Left
413,CARLPERKINSCC2,TB099,Table 99,1,A,Gold,Left
413,CARLPERKINSCC2,TB100,Table 100,1,A,Gold,Left
413,CARLPERKINSCC2,TB101,Table 101,1,A,Gold,Left
413,CARLPERKINSCC2,TB102,Table 102,1,A,Gold,Left
413,CARLPERKINSCC2,TB103,Table 103,1,A,Gold,Left
413,CARLPERKINSCC2,TB104,Table 104,1,A,Gold,Left
413,CARLPERKINSCC2,TB105,Table 105,1,A,Gold,Left
413,CARLPERKINSCC2,TB106,Table 106,1,A,Gold,Left
413,CARLPERKINSCC2,TB107,Table 107,1,A,Gold,Left
413,CARLPERKINSCC2,TB108,Table 108,1,A,Gold,Left
413,CARLPERKINSCC2,TB109,Table 109,1,A,Gold,Left
413,CARLPERKINSCC2,TB110,Table 110,1,A,Gold,Left
413,CARLPERKINSCC2,TB111,Table 111,1,A,Gold,Left
413,CARLPERKINSCC2,TB112,Table 112,1,A,Gold,Left
413,CARLPERKINSCC2,TB113,Table 113,1,A,Gold,Left
413,CARLPERKINSCC2,TB114,Table 114,1,A,Gold,Left
413,CARLPERKINSCC2,TB115,Table 115,1,A,Gold,Left
413,CARLPERKINSCC2,TB116,Table 116,1,A,Gold,Left
413,CARLPERKINSCC2,TB117,Table 117,1,A,Gold,Left
413,CARLPERKINSCC2,TB118,Table 118,1,A,Gold,Left
413,CARLPERKINSCC2,TB119,Table 119,1,A,Gold,Left
413,CARLPERKINSCC2,TB120,Table 120,1,A,Gold,Left
413,CARLPERKINSCC2,A,Balcony A,3,A,Blue,Left
413,CARLPERKINSCC2,B,Balcony B,3,A,Blue,Left
413,CARLPERKINSCC2,C,Balcony C,3,A,Blue,Left
413,CARLPERKINSCC2,D,Balcony D,3,A,Blue,Left
413,CARLPERKINSCC2,E,Balcony E,3,A,Blue,Left
