VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
972,DANAAUDITORIUM1,LTCTR,H,111,213,A,0,9,9
972,DANAAUDITORIUM1,LTCTR,H,109,211,A,0,9,10
972,DANAAUDITORIUM1,LTCTR,H,107,209,A,0,9,11
972,DANAAUDITORIUM1,LTCTR,H,105,207,A,0,9,12
972,DANAAUDITORIUM1,LTCTR,H,103,205,A,0,9,13
972,DANAAUDITORIUM1,LTCTR,H,101,203,A,1,9,14
972,DANAAUDITORIUM1,LTCTR,J,127,257,A,1,10,1
972,DANAAUDITORIUM1,LTCTR,J,125,255,A,0,10,2
972,DANAAUDITORIUM1,LTCTR,J,123,253,A,0,10,3
972,DANAAUDITORIUM1,LTCTR,J,121,251,A,0,10,4
972,DANAAUDITORIUM1,LTCTR,J,119,249,A,0,10,5
972,DANAAUDITORIUM1,LTCTR,J,117,247,A,0,10,6
972,DANAAUDITORIUM1,LTCTR,J,115,245,A,0,10,7
972,DANAAUDITORIUM1,LTCTR,J,113,243,A,0,10,8
972,DANAAUDITORIUM1,LTCTR,J,111,241,A,0,10,9
972,DANAAUDITORIUM1,LTCTR,J,109,239,A,0,10,10
972,DANAAUDITORIUM1,LTCTR,J,107,237,A,0,10,11
972,DANAAUDITORIUM1,LTCTR,J,105,235,A,0,10,12
972,DANAAUDITORIUM1,LTCTR,J,103,233,A,0,10,13
972,DANAAUDITORIUM1,LTCTR,J,101,231,A,1,10,14
972,DANAAUDITORIUM1,LTCTR,K,127,285,A,1,11,1
972,DANAAUDITORIUM1,LTCTR,K,125,283,A,0,11,2
972,DANAAUDITORIUM1,LTCTR,K,123,281,A,0,11,3
972,DANAAUDITORIUM1,LTCTR,K,121,279,A,0,11,4
972,DANAAUDITORIUM1,LTCTR,K,119,277,A,0,11,5
972,DANAAUDITORIUM1,LTCTR,K,117,275,A,0,11,6
972,DANAAUDITORIUM1,LTCTR,K,115,273,A,0,11,7
972,DANAAUDITORIUM1,LTCTR,K,113,271,A,0,11,8
972,DANAAUDITORIUM1,LTCTR,K,111,269,A,0,11,9
972,DANAAUDITORIUM1,LTCTR,K,109,267,A,0,11,10
972,DANAAUDITORIUM1,LTCTR,K,107,265,A,0,11,11
972,DANAAUDITORIUM1,LTCTR,K,105,263,A,0,11,12
972,DANAAUDITORIUM1,LTCTR,K,103,261,A,0,11,13
972,DANAAUDITORIUM1,LTCTR,K,101,259,A,1,11,14
972,DANAAUDITORIUM1,LTCTR,L,127,313,A,1,12,1
